Gene	Non-unique Gene name	Annotation	No. isolates	No. sequences	Avg sequences per isolate	Genome Fragment	Order within Fragment	Accessory Fragment	Accessory Order with Fragment	QC	Min group size nuc	Max group size nuc	Avg group size nuc	GCA_013335335.1	GCA_013335765.1	GCF_000020465.1	GCF_001509575.1	EMN001-megahit_021	GOY005-megahit_001	PES001-megahit_018	PLV001-megahit_001	PLV001-megahit_002	RIG001-megahit_014	specificity	COG_category	Description	Preferred_name	EC	KEGG_ko	KEGG_Module	KEGG_Reaction	KEGG_rclass	PFAMs
hisA		1-(5-phosphoribosyl)-5-[(5-phosphoribosylamino)methylideneamino] imidazole-4-carboxamide isomerase	6	6	1	191	4226	95.0	2440.0		773	779	778					00066	00793	01177	00439	00128	00059	Chlorobium MAG	F	1-(5-phosphoribosyl)-5- (5-phosphoribosylamino)methylideneamino imidazole-4-carboxamide isomerase	hisA	5.3.1.16	ko:K01814	M00026	R04640	RC00945	His_biosynth
hisI		Phosphoribosyl-AMP cyclohydrolase	6	6	1	191	4219	95.0	2421.0		305	431	398					00071	00731	01172	00816	00135	00064	Chlorobium MAG	F	Catalyzes the hydrolysis of the adenine ring of phosphoribosyl-AMP	hisI	3.5.4.19	ko:K01496	M00026	R04037	RC01055	PRA-CH
menB		1,4-dihydroxy-2-naphthoyl-CoA synthase	6	6	1	191	4182	95.0	2400.0		347	821	742					00093	01009	01346	01122	01180	00086	Chlorobium MAG	H	Converts o-succinylbenzoyl-CoA (OSB-CoA) to 1,4- dihydroxy-2-naphthoyl-CoA (DHNA-CoA)	menB	4.1.3.36	ko:K01661	M00116	R07263	RC01923	ECH_1
pfp		Pyrophosphate--fructose 6-phosphate 1-phosphotransferase	6	6	1	191	1377	95.0	2875.0		356	1205	1063					00181	00568	00156	00284	00819	00310	Chlorobium MAG	G	PFAM phosphofructokinase	-	2.7.1.11	ko:K00850	M00001,M00345	R00756,R03236,R03237,R03238,R03239,R04779	RC00002,RC00017	PFK
ilvC		Ketol-acid reductoisomerase (NAD(+))	6	6	1	191	1436	95.0	2806.0		404	992	894					00203	00987	00178	01101	00152	00288	Chlorobium MAG	F	Involved in the biosynthesis of branched-chain amino acids (BCAA). Catalyzes an alkyl-migration followed by a ketol- acid reduction of (S)-2-acetolactate (S2AL) to yield (R)-2,3- dihydroxy-isovalerate. In the isomerase reaction, S2AL is rearranged via a Mg-dependent methyl migration to produce 3- hydroxy-3-methyl-2-ketobutyrate (HMKB). In the reductase reaction, this 2-ketoacid undergoes a metal-dependent reduction by NADPH to yield (R)-2,3-dihydroxy-isovalerate	ilvC	1.1.1.86	ko:K00053	M00019,M00570	R03051,R04439,R04440,R05068,R05069,R05071	RC00726,RC00836,RC00837,RC01726	IlvC,IlvN
recA		Protein RecA	6	6	1	191	1458	95.0	2662.0		407	1058	949					00239	00888	00213	00489	01046	00253	Chlorobium MAG	L	Can catalyze the hydrolysis of ATP in the presence of single-stranded DNA, the ATP-dependent uptake of single-stranded DNA by duplex DNA, and the ATP-dependent hybridization of homologous single-stranded DNAs. It interacts with LexA causing its activation and leading to its autocatalytic cleavage	recA	-	ko:K03553	M00729	-	-	RecA
cobN_1		Aerobic cobaltochelatase subunit CobN	6	6	1	191	5752	99.0	86.0		1925	3806	3492					00259	00213	00232	01270	01555	00233	Chlorobium MAG	H	TIGRFAM magnesium chelatase, H subunit	-	6.6.1.1	ko:K03403	-	R03877	RC01012	CobN-Mg_chel,DUF3479
bchE		Anaerobic magnesium-protoporphyrin IX monomethyl ester cyclase	6	6	1	191	5747	99.0	113.0		1163	1640	1560					00263	00217	00236	00107	00535	00229	Chlorobium MAG	C	TIGRFAM magnesium-protoporphyrin IX monomethyl ester anaerobic oxidative cyclase	-	1.21.98.3	ko:K04034	-	R06268,R06269,R06270	RC00741,RC01491,RC01492	B12-binding,Radical_SAM
dksA		RNA polymerase-binding transcription factor DksA	6	6	1	192	207	98.0	111.0		413	434	420					00402	01003	00642	00321	00611	00609	Chlorobium MAG	K	Prokaryotic dksA/traR C4-type zinc finger	-	-	-	-	-	-	zf-dskA_traR
pyrB		Aspartate carbamoyltransferase	6	6	1	192	224	98.0	127.0		911	1019	947					00411	01097	00633	00330	00626	00619	Chlorobium MAG	F	Belongs to the ATCase OTCase family	pyrB	2.1.3.2	ko:K00609	M00051	R01397	RC00064,RC02850	OTCace,OTCace_N
group_147		hypothetical protein	6	6	1	192	251	98.0	306.0		203	734	611					00437	00066	00607	00873	00424	01183	Chlorobium MAG	K	Biogenesis protein	braZ	-	ko:K09792	-	-	-	DsbD_2,Ferric_reduct
group_148		Ribonuclease	6	6	1	192	266	98.0	294.0		431	1391	1231					00449	00078	00595	01237	01403	01171	Chlorobium MAG	J	PFAM beta-lactamase domain protein	-	-	ko:K07576	-	-	-	Beta-Casp,Lactamase_B,RMMBL
lpxC		UDP-3-O-acyl-N-acetylglucosamine deacetylase	6	6	1	192	39	98.0	221.0		1403	1451	1427					00510	00714	01205	01248	01687	01687	Chlorobium MAG	IM	Catalyzes the hydrolysis of UDP-3-O-myristoyl-N- acetylglucosamine to form UDP-3-O-myristoylglucosamine and acetate, the committed step in lipid A biosynthesis	fabZ	3.5.1.108,4.2.1.59	ko:K16363	M00060,M00083	R04428,R04535,R04537,R04544,R04568,R04587,R04954,R04965	RC00166,RC00300,RC00831,RC01095	FabA,LpxC
sigE		ECF RNA polymerase sigma factor SigE	6	6	1	191	408	100.0	93.0		491	671	565					00631	01479	00107	00070	00209	00645	Chlorobium MAG	K	PFAM sigma-70 region 2 domain protein	-	-	ko:K03088	-	-	-	Sigma70_r2,Sigma70_r4_2
bamA_3		Outer membrane protein assembly factor BamA	6	6	1	191	418	100.0	103.0		470	2492	1818					00641	01031	00117	01227	01663	00655	Chlorobium MAG	M	surface antigen variable number repeat protein	-	-	ko:K07277	-	-	-	Bac_surface_Ag,POTRA
group_162		hypothetical protein	6	6	1	191	997	96.0	661.0		488	2195	1910					00733	01260	01316	00721	00007	00965	Chlorobium MAG	S	Photosystem I psaA/psaB protein	-	-	ko:K08940	M00598	-	-	PsaA_PsaB
yhhJ		Inner membrane transport permease YhhJ	6	6	1	191	6140	96.0	1258.0		590	1127	948					00795	01136	00749	00900	01426	01529	Chlorobium MAG	V	ABC-2 family transporter protein	-	-	ko:K01992	M00254	-	-	ABC2_membrane_3
rpsD		30S ribosomal protein S4	6	6	1	191	4050	99.0	168.0		611	689	674					00303	00105	01058	00691	00936	00189	Chlorobium MAG	J	One of the primary rRNA binding proteins, it binds directly to 16S rRNA where it nucleates assembly of the body of the 30S subunit	rpsD	-	ko:K02986	M00178,M00179	-	-	Ribosomal_S4,S4
pccB		Propionyl-CoA carboxylase beta chain	6	6	1	191	3300	101.0	65.0		1538	1655	1558					00956	00904	00510	01044	01492	00334	Chlorobium MAG	I	PFAM carboxyl transferase	-	-	-	-	-	-	Carboxyl_trans
hemC		Porphobilinogen deaminase	6	6	1	191	3307	101.0	69.0		446	941	858					00960	00908	00514	01040	01488	00338	Chlorobium MAG	F	Tetrapolymerization of the monopyrrole PBG into the hydroxymethylbilane pre-uroporphyrinogen in several discrete steps	hemC	2.5.1.61	ko:K01749	M00121	R00084	RC02317	Porphobil_deam,Porphobil_deamC
group_185		hypothetical protein	6	6	1	191	3336	101.0	83.0		206	527	473					00975	01156	00529	00605	00842	00353	Chlorobium MAG	K	PFAM regulatory protein AsnC Lrp family	-	-	ko:K03719	-	-	-	AsnC_trans_reg,HTH_24
bchL		Light-independent protochlorophyllide reductase iron-sulfur ATP-binding protein	6	6	1	191	4033	99.0	157.0		830	830	830					00292	00116	01069	00854	00694	00200	Chlorobium MAG	F	Component of the dark-operative protochlorophyllide reductase (DPOR) that uses Mg-ATP and reduced ferredoxin to reduce ring D of protochlorophyllide (Pchlide) to form chlorophyllide a (Chlide). This reaction is light-independent. The L component serves as a unique electron donor to the NB-component of the complex, and binds Mg-ATP	bchL	1.3.7.7	ko:K04037	-	R06282	RC01008	Fer4_NifH
gap		Glyceraldehyde-3-phosphate dehydrogenase	6	6	1	191	4361	95.0	1884.0		803	1004	970					01158	01459	01248	00882	01213	01282	Chlorobium MAG	C	Belongs to the glyceraldehyde-3-phosphate dehydrogenase family	-	1.2.1.12	ko:K00134	M00001,M00002,M00003,M00165,M00166,M00308,M00552	R01061	RC00149	Gp_dh_C,Gp_dh_N
rpsK		30S ribosomal protein S11	6	6	1	191	4051	99.0	169.0		383	383	383					00304	00104	01057	00692	00935	00188	Chlorobium MAG	J	Located on the platform of the 30S subunit, it bridges several disparate RNA helices of the 16S rRNA. Forms part of the Shine-Dalgarno cleft in the 70S ribosome	rpsK	-	ko:K02948	M00178,M00179	-	-	Ribosomal_S11
secY		Protein translocase subunit SecY	6	6	1	191	4057	99.0	186.0		1337	1337	1337					00308	01447	01053	01223	00930	00184	Chlorobium MAG	U	The central subunit of the protein translocation channel SecYEG. Consists of two halves formed by TMs 1-5 and 6-10. These two domains form a lateral gate at the front which open onto the bilayer between TMs 2 and 7, and are clamped together by SecE at the back. The channel is closed by both a pore ring composed of hydrophobic SecY resides and a short helix (helix 2A) on the extracellular side of the membrane which forms a plug. The plug probably moves laterally to allow the channel to open. The ring and the pore may move independently	secY	-	ko:K03076	M00335	-	-	SecY
prfA		Peptide chain release factor 1	6	6	1	191	3555	95.0	95.0		263	1070	935					01253	00419	00914	00964	01373	01213	Chlorobium MAG	J	Peptide chain release factor 1 directs the termination of translation in response to the peptide chain termination codons UAG and UAA	prfA	-	ko:K02835	-	-	-	PCRF,RF-1
dnaA		Chromosomal replication initiator protein DnaA	6	6	1	191	6340	95.0	180.0		908	1472	1378					01298	01443	01576	00564	01168	01617	Chlorobium MAG	L	it binds specifically double-stranded DNA at a 9 bp consensus (dnaA box) 5'-TTATC CA A CA A-3'. DnaA binds to ATP and to acidic phospholipids	dnaA	-	ko:K02313	-	-	-	Bac_DnaA,Bac_DnaA_C,DnaA_N
pyrK_2		Dihydroorotate dehydrogenase B (NAD(+)), electron transfer subunit	6	6	1	191	2076	95.0	854.0		815	869	833					01415	00622	00474	00263	00806	01583	Chlorobium MAG	C	PFAM oxidoreductase FAD NAD(P)-binding domain protein	-	-	-	-	-	-	DHODB_Fe-S_bind,NAD_binding_1
ibpB		Small heat shock protein IbpB	6	6	1	191	1339	95.0	2744.0		404	419	409					01443	01145	01274	00754	00381	00762	Chlorobium MAG	O	Belongs to the small heat shock protein (HSP20) family	-	-	ko:K13993	-	-	-	HSP20
sigR		ECF RNA polymerase sigma factor SigR	6	6	1	191	1332	95.0	2738.0		626	698	638					01447	01142	01277	00758	00378	00758	Chlorobium MAG	K	Belongs to the sigma-70 factor family. ECF subfamily	-	-	ko:K03088	-	-	-	Sigma70_r2,Sigma70_r4_2
group_220		hypothetical protein	6	6	1	191	3446	95.0	225.0		194	1553	1326					01487	00159	01388	00795	00946	00719	Chlorobium MAG	C	tartrate metabolic process	fumB	4.2.1.2	ko:K01676,ko:K01678	M00009,M00011,M00173,M00374,M00620	R01082	RC00443	Fumerase,Fumerase_C
groL		60 kDa chaperonin	6	6	1	191	745	105.0	34.0		389	1643	1147					01618	00943	01591	00476	00475	01550	Chlorobium MAG	O	Prevents misfolding and promotes the refolding and proper assembly of unfolded polypeptides generated under stress conditions	-	-	ko:K04077	-	-	-	Cpn60_TCP1
ndhD1		NAD(P)H-quinone oxidoreductase chain 4 1	6	6	1	191	2682	97.0	611.0		1595	1637	1623					01651	00388	01006	01297	01754	01314	Chlorobium MAG	C	PFAM NADH Ubiquinone plastoquinone (complex I)	-	1.6.5.3	ko:K00342	M00144	R11945	RC00061	Proton_antipo_M
pyrC		Dihydroorotase	6	6	1	191	2033	95.0	814.0		1034	1406	1288					01687	00981	00252	01205	01469	01456	Chlorobium MAG	F	Belongs to the metallo-dependent hydrolases superfamily. DHOase family. Class I DHOase subfamily	pyrC	3.5.2.3	ko:K01465	M00051	R01993	RC00632	Amidohydro_1
fmoA		Bacteriochlorophyll a protein	6	6	1	192	150	98.0	34.0		737	1100	979					00356	01171	00688	01348	01773	00562	Chlorobium MAG	S	bacteriochlorophyll A protein	-	-	ko:K08944	-	-	-	BChl_A
hemN		Oxygen-independent coproporphyrinogen III oxidase	6	6	1	191	1277	95.0	2762.0		1013	1421	1353					01757	01176	01658	01346	01574	01714	Chlorobium MAG	H	Belongs to the anaerobic coproporphyrinogen-III oxidase family	-	-	-	-	-	-	HemN_C,Radical_SAM
rpmF		50S ribosomal protein L32	6	6	1	191	6622	96.0	644.0		191	191	191	01573	01523	00184	01055		01206			00017		C. limicola	J	Belongs to the bacterial ribosomal protein bL32 family	rpmF	-	ko:K02911	M00178	-	-	Ribosomal_L32p
aarA		Citrate synthase	6	6	1	191	4189	95.0	2406.0		1349	1349	1349					00086	00746	01157	00644	00150	00079	Chlorobium MAG	H	Belongs to the citrate synthase family	-	2.3.3.1	ko:K01647	M00009,M00010,M00012,M00740	R00351	RC00004,RC00067	Citrate_synt
exbD_1		Biopolymer transport protein ExbD	6	6	1	191	1361	95.0	2798.0		422	422	422					00197	00584	00172	00300	00398	00294	Chlorobium MAG	D	PFAM Biopolymer transport protein ExbD TolR	-	-	ko:K03560	-	-	-	ExbD
dmdA		2,3-dimethylmalate dehydratase large subunit	6	6	1	191	1493	95.0	2808.0		1295	1295	1295					00205	00989	00180	01103	00154	00286	Chlorobium MAG	C	Belongs to the aconitase IPM isomerase family	-	4.2.1.33,4.2.1.35	ko:K01703	M00432,M00535	R03896,R03898,R03968,R04001,R08620,R08624,R08628,R08634,R08641,R08645,R10170	RC00497,RC00976,RC00977,RC01041,RC01046,RC03072	Aconitase
group_511		hypothetical protein	6	6	1	191	4111	95.0	2641.0		1154	1154	1154					00247	00202	00221	00534	00833	00245	Chlorobium MAG	P	TIGRFAM arsenite-activated ATPase ArsA	-	3.6.3.16	ko:K01551	-	-	-	ArsA_ATPase
group_513		hypothetical protein	6	6	1	191	5761	118.0	1.0		422	422	422					00250	00205	00224	00537	00830	00242	Chlorobium MAG	S	Chlorosome envelope protein C	-	-	ko:K08947	-	-	-	Chlorosome_CsmC
rpsM		30S ribosomal protein S13	6	6	1	191	4053	99.0	172.0		377	377	377					00305	00103	01056	00693	00934	00187	Chlorobium MAG	J	Located at the top of the head of the 30S subunit, it contacts several helices of the 16S rRNA. In the 70S ribosome it contacts the 23S rRNA (bridge B1a) and protein L5 of the 50S subunit (bridge B1b), connecting the 2 subunits	rpsM	-	ko:K02952	M00178,M00179	-	-	Ribosomal_S13
rpsE		30S ribosomal protein S5	6	6	1	191	4060	99.0	181.0		518	518	518					00311	01444	01050	01178	00927	00181	Chlorobium MAG	J	With S4 and S12 plays an important role in translational accuracy	rpsE	-	ko:K02988	M00178,M00179	-	-	Ribosomal_S5,Ribosomal_S5_C
rplE		50S ribosomal protein L5	6	6	1	191	3992	109.0	1.0		587	587	587					00316	01544	01045	01183	00922	00176	Chlorobium MAG	J	This is 1 of the proteins that binds and probably mediates the attachment of the 5S RNA into the large ribosomal subunit, where it forms part of the central protuberance. In the 70S ribosome it contacts protein S13 of the 30S subunit (bridge B1b), connecting the 2 subunits	rplE	-	ko:K02931	M00178,M00179	-	-	Ribosomal_L5,Ribosomal_L5_C
rplV		50S ribosomal protein L22	6	6	1	191	5880	96.0	776.0		356	356	356					00324	01363	01037	01160	00258	00168	Chlorobium MAG	J	its binding is stimulated by other ribosomal proteins, e.g. L4, L17, and L20. It is important during the early stages of 50S assembly. It makes multiple contacts with different domains of the 23S rRNA in the assembled 50S subunit and ribosome	rplV	-	ko:K02890	M00178,M00179	-	-	Ribosomal_L22
rpmA		50S ribosomal protein L27	6	6	1	192	158	98.0	42.0		254	254	254					00364	01581	00680	00967	01451	00570	Chlorobium MAG	J	Belongs to the bacterial ribosomal protein bL27 family	rpmA	-	ko:K02899	M00178	-	-	Ribosomal_L27
mdh		Malate dehydrogenase	6	6	1	192	159	98.0	45.0		932	1001	989					00365	01582	00679	00968	01452	00571	Chlorobium MAG	C	Catalyzes the reversible oxidation of malate to oxaloacetate	mdh	1.1.1.37	ko:K00024	M00009,M00011,M00012,M00168,M00173,M00346,M00374,M00620,M00740	R00342,R07136	RC00031	Ldh_1_C,Ldh_1_N
yciV		5'-3' exoribonuclease	6	6	1	192	180	98.0	67.0		860	860	860					00385	00340	00659	00403	00565	00591	Chlorobium MAG	S	SMART phosphoesterase PHP domain protein	-	3.1.3.97	ko:K07053	-	R00188,R11188	RC00078	PHP
mlaF		Intermembrane phospholipid transport system ATP-binding protein MlaF	6	6	1	192	182	98.0	86.0		734	734	734					00387	00338	00657	00405	00567	00593	Chlorobium MAG	Q	PFAM ABC transporter related	-	-	ko:K02065	M00210,M00669,M00670	-	-	ABC_tran
purF		Amidophosphoribosyltransferase	6	6	1	192	198	98.0	102.0		1499	1703	1533					00401	01004	00643	00320	00610	00608	Chlorobium MAG	F	Catalyzes the formation of phosphoribosylamine from phosphoribosylpyrophosphate (PRPP) and glutamine	purF	2.4.2.14	ko:K00764	M00048	R01072	RC00010,RC02724,RC02752	GATase_7
group_564		hypothetical protein	6	6	1	192	252	98.0	305.0		671	671	671					00438	00067	00606	00872	00425	01182	Chlorobium MAG	L	Belongs to the UPF0758 family	-	-	ko:K03630	-	-	-	RadC
rpmB		50S ribosomal protein L28	6	6	1	192	280	98.0	281.0		218	218	218					00460	00089	01464	00190	00655	01160	Chlorobium MAG	J	Belongs to the bacterial ribosomal protein bL28 family	rpmB	-	ko:K02902	M00178	-	-	Ribosomal_L28
group_589		hypothetical protein	6	6	1	191	550	96.0	294.0		227	227	227					00541	00285	00018	00148	00521	00890	Chlorobium MAG	S	Protein of unknown function (DUF2795)	-	-	-	-	-	-	DUF2795
lemA		Protein LemA	6	6	1	191	179	96.0	404.0		587	587	587					00574	01037	00052	00600	00110	00857	Chlorobium MAG	S	PFAM LemA family protein	-	-	ko:K03744	-	-	-	LemA
clpB_1		Chaperone protein ClpB	6	6	1	191	1077	96.0	1253.0		479	1316	1073					00790	00422	00744	00003	00081	00908	Chlorobium MAG	O	PFAM ATPase associated with various cellular activities, AAA_5	-	-	-	-	-	-	AAA_2,ClpB_D2-small
hup		DNA-binding protein HU	6	6	1	191	334	102.0	23.0		308	308	308					00614	00966	00091	00053	00192	00629	Chlorobium MAG	L	Histone-like DNA-binding protein which is capable of wrapping DNA to stabilize it, and thus to prevent its denaturation under extreme environmental conditions	-	-	ko:K03530	-	-	-	Bac_DNA_binding
recD2		ATP-dependent RecD-like DNA helicase	6	6	1	191	3356	101.0	93.0		374	2321	1748					00983	01148	00537	00947	01035	00361	Chlorobium MAG	L	DNA-dependent ATPase and ATP-dependent 5'-3' DNA helicase. Has no activity on blunt DNA or DNA with 3'-overhangs, requires at least 10 bases of 5'-ssDNA for helicase activity	recD2	3.1.11.5	ko:K03581	-	-	-	AAA_30,HHH_4,HHH_5,UvrD_C_2
hemL		Glutamate-1-semialdehyde 2,1-aminomutase	6	6	1	191	6151	96.0	1272.0		1295	1295	1295					00804	00596	00758	00913	00607	01521	Chlorobium MAG	F	Belongs to the class-III pyridoxal-phosphate-dependent aminotransferase family. HemL subfamily	hemL	5.4.3.8	ko:K01845	M00121	R02272	RC00677	Aminotran_3
prs		Ribose-phosphate pyrophosphokinase	6	6	1	191	4833	95.0	676.0		983	983	983					00873	00043	00358	00950	01462	00463	Chlorobium MAG	F	Involved in the biosynthesis of the central metabolite phospho-alpha-D-ribosyl-1-pyrophosphate (PRPP) via the transfer of pyrophosphoryl group from ATP to 1-hydroxyl of ribose-5-phosphate (Rib-5-P)	prs	2.7.6.1	ko:K00948	M00005	R01049	RC00002,RC00078	Pribosyl_synth,Pribosyltran_N
panB		3-methyl-2-oxobutanoate hydroxymethyltransferase	6	6	1	191	4814	95.0	698.0		833	833	833					00886	00056	00345	00731	01314	00450	Chlorobium MAG	H	Catalyzes the reversible reaction in which hydroxymethyl group from 5,10-methylenetetrahydrofolate is transferred onto alpha-ketoisovalerate to form ketopantoate	panB	2.1.2.11	ko:K00606	M00119	R01226	RC00022,RC00200	Pantoate_transf
queA_2		S-adenosylmethionine:tRNA ribosyltransferase-isomerase	6	6	1	191	4799	95.0	711.0		1040	1040	1040					00901	01385	00330	01264	01713	00435	Chlorobium MAG	H	Transfers and isomerizes the ribose moiety from AdoMet to the 7-aminomethyl group of 7-deazaguanine (preQ1-tRNA) to give epoxyqueuosine (oQ-tRNA)	-	2.4.99.17	ko:K07568	-	-	-	Queuosine_synth
group_683		hypothetical protein	6	6	1	191	4796	95.0	713.0		1250	1259	1251					00903	01539	00328	00204	00905	00433	Chlorobium MAG	S	phosphatase activity	-	-	-	-	-	-	-
hemB		Delta-aminolevulinic acid dehydratase	6	6	1	191	3291	101.0	53.0		986	986	986					00949	01202	00503	00553	01141	00327	Chlorobium MAG	H	Belongs to the ALAD family	hemB	4.2.1.24	ko:K01698	M00121	R00036	RC00918,RC01781	ALAD
gcdB		Glutaconyl-CoA decarboxylase subunit beta	6	6	1	191	3297	101.0	62.0		1136	1136	1136					00953	00901	00507	00557	01137	00331	Chlorobium MAG	C	PFAM Na transporting methylmalonyl-CoA oxaloacetate decarboxylase beta subunit	-	4.1.1.3	ko:K01572	-	R00217	RC00040	OAD_beta
gyrB		DNA gyrase subunit B	6	6	1	191	3492	95.0	275.0		434	1931	1200					01285	00887	00882	00498	00740	01666	Chlorobium MAG	L	A type II topoisomerase that negatively supercoils closed circular double-stranded (ds) DNA in an ATP-dependent manner to modulate DNA topology and maintain chromosomes in an underwound state. Negative supercoiling favors strand separation, and DNA replication, transcription, recombination and repair, all of which involve strand separation. Also able to catalyze the interconversion of other topological isomers of dsDNA rings, including catenanes and knotted rings. Type II topoisomerases break and join 2 DNA strands simultaneously in an ATP-dependent manner	gyrB	5.99.1.3	ko:K02470	-	-	-	DNA_gyraseB,DNA_gyraseB_C,HATPase_c,Toprim
atpA		ATP synthase subunit alpha	6	6	1	191	3762	96.0	1051.0		1580	1580	1580					01102	00662	00830	00276	00453	00815	Chlorobium MAG	F	Produces ATP from ADP in the presence of a proton gradient across the membrane. The alpha chain is a regulatory subunit	atpA	3.6.3.14	ko:K02111	M00157	-	-	ATP-synt_ab,ATP-synt_ab_C,ATP-synt_ab_N
secA		Protein translocase subunit SecA	6	6	1	191	2065	95.0	843.0		1625	3071	2339					01425	01497	00484	01152	01343	01593	Chlorobium MAG	U	Part of the Sec protein translocase complex. Interacts with the SecYEG preprotein conducting channel. Has a central role in coupling the hydrolysis of ATP to the transfer of proteins into and across the cell membrane, serving as an ATP-driven molecular motor driving the stepwise translocation of polypeptide chains across the membrane	secA	-	ko:K03070	M00335	-	-	Helicase_C,SEC-C,SecA_DEAD,SecA_PP_bind,SecA_SW
